Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,5.032500,5.187500,4.770000,4.800000,4.615888,414035200
2015-02-01,4.830000,5.625000,4.735000,5.515000,5.303463,419354000
2015-03-01,5.500000,5.902500,5.115000,5.232500,5.051175,731044400
2015-04-01,5.252500,5.710000,5.162500,5.550000,5.357672,567365200
2015-05-01,5.595000,5.720000,5.095000,5.532500,5.340779,708133600
2015-06-01,5.567500,5.650000,4.992500,5.027500,4.875743,733383200
2015-07-01,5.152500,5.225000,4.772500,4.987500,4.836950,548040400
2015-08-01,5.027500,5.987500,4.962500,5.620000,5.450358,946949200
2015-09-01,5.457500,6.170000,5.350000,6.162500,6.001627,648020800
2015-10-01,6.162500,7.195000,5.867500,7.092500,6.907350,805231600
2015-11-01,7.115000,7.985000,6.907500,7.930000,7.722988,734481600
2015-12-01,8.000000,8.485000,7.992500,8.240000,8.055367,562717200
2016-01-01,8.072500,8.360000,6.612500,7.322500,7.158427,813898000
2016-02-01,7.315000,8.030000,6.187500,7.840000,7.664330,900004800
2016-03-01,7.860000,9.062500,7.760000,8.907500,8.739638,657790400
2016-04-01,8.852500,9.365000,8.657500,8.882500,8.715110,673425200
2016-05-01,8.967500,11.705000,8.600000,11.680000,11.459888,1036783600
2016-06-01,11.625000,12.135000,11.142500,11.752500,11.560965,819790000
2016-07-01,11.687500,14.312500,11.507500,14.275000,14.042355,721005200
2016-08-01,14.335000,15.875000,13.875000,15.335000,15.085080,930512000
2016-09-01,15.347500,17.297501,14.330000,17.129999,16.881878,866525200
2016-10-01,17.129999,18.237499,15.925000,17.790001,17.532324,655156800
2016-11-01,17.855000,23.812500,16.645000,23.049999,22.716129,1276746400
2016-12-01,23.025000,29.982500,21.192499,26.684999,26.337854,1808222800
2017-01-01,26.100000,27.972500,24.777500,27.295000,26.939920,1339684000
2017-02-01,27.645000,30.230000,23.924999,25.370001,25.039959,1420678800
2017-03-01,25.947500,27.500000,23.792500,27.232500,26.912153,1428896000
2017-04-01,27.237499,27.412500,23.872499,26.075001,25.768272,957257200
2017-05-01,26.184999,36.750000,25.577499,36.087502,35.662987,1920944400
2017-06-01,36.247501,42.125000,35.527500,36.139999,35.752483,2344552000
2017-07-01,36.262501,42.482498,34.645000,40.627499,40.191868,1549101600
2017-08-01,40.532501,43.639999,38.227501,42.360001,41.905785,1472821600
2017-09-01,42.487499,47.799999,40.677502,44.692501,44.252201,1444733600
2017-10-01,45.200001,51.972500,44.250000,51.702499,51.193134,1142266400
2017-11-01,52.337502,54.667500,47.807499,50.177502,49.683163,1183089600
2017-12-01,49.827499,50.075001,45.145000,48.375000,47.931702,1011221600
2018-01-01,48.945000,62.317501,48.625000,61.450001,60.886883,1145621600
2018-02-01,59.630001,62.992500,51.000000,60.500000,59.945595,1491552800
2018-03-01,60.477501,63.625000,54.250000,57.897499,57.402592,1411844000
2018-04-01,57.185001,59.812500,52.575001,56.224998,55.744389,1114400800
2018-05-01,56.142502,65.125000,55.549999,63.047501,62.508575,1197824000
2018-06-01,63.500000,67.300003,58.752499,59.224998,58.755054,878554000
2018-07-01,58.522499,64.150002,58.314999,61.215000,60.729267,632187600
2018-08-01,61.532501,70.430000,59.680000,70.169998,69.613205,1091783600
2018-09-01,70.037498,71.305000,64.669998,70.254997,69.735649,634020000
2018-10-01,71.040001,73.190002,44.002499,52.707500,52.317871,1297797600
2018-11-01,53.075001,55.500000,33.327499,40.857498,40.555470,1616234000
2018-12-01,43.150002,43.669998,31.115000,33.375000,33.161434,1245140800
2019-01-01,32.660000,40.220001,31.922501,35.937500,35.707535,1687099200
2019-02-01,36.125000,41.320000,35.645000,38.564999,38.318214,1144572800
2019-03-01,39.067501,46.250000,36.200001,44.889999,44.648716,1206854000
2019-04-01,45.814999,48.367500,43.325001,45.250000,45.006779,943778000
2019-05-01,45.777500,46.217499,33.847500,33.865002,33.682972,1118075200
2019-06-01,33.977501,41.342499,33.150002,41.057499,40.883423,823334000
2019-07-01,43.142502,44.722500,38.750000,42.180000,42.001167,841598400
2019-08-01,42.285000,43.362499,36.847500,41.877499,41.699951,945032800
2019-09-01,41.145000,47.099998,40.812500,43.517502,43.375900,634776800
2019-10-01,43.750000,52.224998,42.532501,50.255001,50.091473,769617200
2019-11-01,49.900002,55.352501,49.647499,54.185001,54.008682,732180000
2019-12-01,54.115002,60.452499,50.092499,58.825001,58.676846,654353200
2020-01-01,59.687500,64.875000,57.817501,59.107498,58.958633,612541200
2020-02-01,58.924999,79.080002,58.862499,67.517502,67.347450,1184865200
2020-03-01,69.224998,71.222504,45.169998,65.900002,65.773346,1577395200
2020-04-01,63.912498,76.050003,59.597500,73.070000,72.929565,1127830400
2020-05-01,71.087502,91.817497,70.209999,88.754997,88.584412,1254887600
2020-06-01,88.332497,96.425003,86.580002,94.977501,94.794952,971946400
2020-07-01,95.207497,107.922501,94.129997,106.147499,105.991829,809445200
2020-08-01,107.324997,135.750000,107.152496,133.744995,133.548859,967254400
2020-09-01,134.800003,147.267502,117.042503,135.304993,135.106567,1585655200
2020-10-01,137.580002,143.485001,123.000000,125.339996,125.193626,802235600
2020-11-01,126.577499,146.914993,123.949997,134.014999,133.858490,759482000
2020-12-01,134.922501,137.312500,127.632500,130.550003,130.397552,512099600
2021-01-01,131.042496,139.992493,125.860001,129.897507,129.784164,615417200
2021-02-01,130.532501,153.725006,129.027496,137.145004,137.025330,668032400
2021-03-01,138.750000,139.250000,115.665001,133.482498,133.366013,764865600
2021-04-01,135.722504,162.142502,135.112503,150.095001,150.015793,671879600
2021-05-01,151.250000,162.774994,134.589996,162.445007,162.359283,705438000
2021-06-01,162.699997,201.625000,159.032501,200.024994,199.919418,1027329200
2021-07-01,201.250000,208.750000,178.654999,194.990005,194.931763,782280900
2021-08-01,197.000000,230.429993,187.619995,223.850006,223.783142,641474900
2021-09-01,224.850006,229.860001,204.669998,207.160004,207.134644,499855400
2021-10-01,207.500000,257.089996,195.550003,255.669998,255.638702,497028000
2021-11-01,256.489990,346.470001,252.270004,326.760010,326.720001,1080973500
2021-12-01,332.190002,332.890015,271.450012,294.000000,293.964020,897112000
2021-12-22,288.910004,295.549988,285.269989,294.000000,294.000000,39518438
