Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,86.269997,90.970001,84.900002,84.980003,72.602676,158927700
2015-02-01,84.790001,88.000000,82.550003,83.930000,71.705597,138540500
2015-03-01,83.930000,84.000000,80.540001,82.250000,70.270309,142533000
2015-04-01,82.279999,82.279999,77.550003,78.050003,67.082550,143685100
2015-05-01,78.199997,79.940002,74.150002,74.269997,63.833721,151125700
2015-06-01,74.690002,75.199997,70.779999,70.930000,61.347790,176565700
2015-07-01,71.599998,74.139999,70.360001,71.980003,62.255932,150420400
2015-08-01,71.839996,73.690002,61.500000,64.730003,55.985367,227361100
2015-09-01,63.799999,67.010002,62.919998,64.839996,56.463436,190814000
2015-10-01,64.760002,67.949997,57.160000,57.240002,49.845261,347169000
2015-11-01,57.290001,61.470001,56.299999,58.840000,51.238571,224629400
2015-12-01,59.130001,61.869999,58.320000,61.299999,53.380753,226975100
2016-01-01,60.500000,66.529999,60.200001,66.360001,58.271107,264665800
2016-02-01,65.910004,68.199997,62.349998,66.339996,58.253525,263102700
2016-03-01,66.650002,69.190002,64.879997,68.489998,60.141468,203107900
2016-04-01,68.019997,70.080002,66.360001,66.870003,59.153625,141253600
2016-05-01,66.620003,71.379997,62.720001,70.779999,62.612446,232976200
2016-06-01,70.500000,73.190002,70.150002,73.019997,65.066887,185919600
2016-07-01,73.129997,74.349998,72.419998,72.970001,65.022354,137723500
2016-08-01,72.809998,75.190002,70.889999,71.440002,63.658978,212460000
2016-09-01,71.570000,73.190002,70.300003,72.120003,64.704857,176983900
2016-10-01,71.830002,72.570000,67.070000,70.019997,62.820766,170716200
2016-11-01,69.980003,72.089996,68.120003,70.430000,63.188629,210370600
2016-12-01,70.250000,72.480003,68.830002,69.120003,62.013302,162527500
2017-01-01,69.239998,69.629997,65.279999,66.739998,60.306568,181828000
2017-02-01,66.459999,72.800003,66.040001,70.930000,64.092674,207967400
2017-03-01,70.970001,72.559998,69.330002,72.080002,65.131821,191103100
2017-04-01,72.080002,75.769997,71.379997,75.180000,68.432495,127527200
2017-05-01,75.089996,79.440002,74.959999,78.599998,71.545547,182345800
2017-06-01,78.639999,80.470001,73.290001,75.680000,69.348602,247520700
2017-07-01,75.839996,80.339996,73.129997,79.989998,73.298019,143448100
2017-08-01,80.250000,81.989998,77.500000,78.070000,71.538681,203652700
2017-09-01,78.309998,81.120003,77.730003,78.139999,72.053192,161153600
2017-10-01,77.900002,89.110001,77.500000,87.309998,80.508904,198775100
2017-11-01,87.070000,100.129997,87.000000,97.230003,89.656166,222703100
2017-12-01,97.610001,99.910004,96.139999,98.750000,91.057755,166774100
2018-01-01,99.300003,109.980003,98.519997,106.599998,98.814323,169694600
2018-02-01,105.959999,106.559998,90.000000,90.010002,83.435982,307532700
2018-03-01,90.169998,90.500000,85.279999,88.970001,82.471939,256003000
2018-04-01,88.000000,89.660004,84.839996,88.459999,82.488083,163581800
2018-05-01,87.669998,88.099998,81.779999,82.540001,76.967720,248483300
