Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,33.270000,33.689999,32.490002,33.200001,26.049765,45600
2015-02-01,33.450001,33.459999,30.959999,31.070000,24.378494,238900
2015-03-01,31.000000,31.440001,30.410000,30.420000,24.088856,31500
2015-04-01,30.299999,33.020000,30.299999,32.930000,26.076464,33700
2015-05-01,32.930000,32.930000,29.860001,30.160000,23.882965,11200
2015-06-01,30.160000,30.309999,28.120001,28.120001,22.464571,12800
2015-07-01,28.820000,29.639999,27.450001,28.620001,22.864012,77500
2015-08-01,28.620001,29.340000,26.090000,27.559999,22.017200,52100
2015-09-01,26.790001,28.820000,26.270000,28.170000,22.706978,14300
2015-10-01,28.219999,30.000000,28.219999,28.969999,23.351835,70600
2015-11-01,28.969999,28.969999,27.400000,27.629999,22.271700,62600
2015-12-01,27.629999,28.450001,26.420000,26.900000,21.901587,64700
2016-01-01,26.309999,28.879999,24.629999,28.830000,23.472961,62700
2016-02-01,28.719999,30.270000,25.889999,27.879999,22.699486,387900
2016-03-01,28.180000,31.580000,28.180000,31.580000,25.981827,124200
2016-04-01,31.490000,31.920000,30.570000,31.750000,26.121687,92900
2016-05-01,31.799999,31.969999,30.620001,31.600000,25.998280,71300
2016-06-01,31.360001,33.799999,31.360001,33.799999,28.067419,59700
2016-07-01,33.799999,34.660000,32.770000,33.110001,27.494455,67300
2016-08-01,33.169998,33.650002,31.459999,31.459999,26.124296,138200
2016-09-01,31.670000,32.680000,30.680000,32.209999,26.987198,482400
2016-10-01,31.990000,33.250000,30.290001,32.849998,27.523424,9359600
2016-11-01,33.080002,33.099998,29.139999,29.780001,24.951218,7302100
2016-12-01,29.850000,31.360001,29.510000,30.879999,26.129738,4085300
2017-01-01,30.850000,32.180000,30.530001,32.139999,27.195915,3779600
2017-02-01,31.940001,33.070000,31.590000,31.780001,26.891293,3663800
2017-03-01,31.780001,33.369999,31.270000,33.160000,28.324383,5296000
2017-04-01,32.939999,33.990002,32.279999,32.520000,27.777719,3267600
2017-05-01,32.540001,33.040001,31.719999,32.880001,28.085220,3284000
2017-06-01,32.980000,35.730000,32.910000,35.150002,30.024195,3922400
2017-07-01,35.119999,36.599998,34.250000,36.459999,31.143164,3241600
2017-08-01,36.419998,36.959999,35.009998,36.580002,31.245667,3472100
2017-09-01,36.770000,37.669998,35.330002,35.770000,30.821764,3736600
2017-10-01,35.860001,37.560001,35.619999,36.830002,31.735125,4256200
2017-11-01,36.900002,38.240002,36.130001,36.799999,31.709278,4874400
2017-12-01,37.189999,37.639999,35.770000,36.669998,31.875937,4533300
2018-01-01,36.630001,36.759998,34.490002,35.340000,30.719814,6372600
2018-02-01,35.230000,35.349998,31.410000,32.660000,28.390181,8234900
2018-03-01,32.570000,34.029999,32.259998,33.770000,29.665401,6702000
2018-04-01,33.790001,34.189999,32.830002,33.490002,29.419434,4533900
2018-05-01,33.680000,33.790001,31.840000,31.920000,28.040258,3684000
2018-06-01,31.860001,32.020000,30.879999,31.879999,28.292461,7182800
2018-07-01,31.840000,33.020000,31.549999,32.770000,29.082304,6179000
2018-08-01,32.680000,33.419998,32.110001,32.720001,29.037937,4531300
2018-09-01,32.480000,33.000000,32.090000,32.419998,29.054836,4582100
2018-10-01,32.639999,33.840000,31.370001,33.029999,29.601515,8894400
2018-11-01,33.230000,35.820000,32.480000,34.720001,31.116104,6370800
2018-12-01,35.080002,35.860001,31.799999,33.360001,30.187433,8971500
2019-01-01,33.150002,35.740002,32.849998,35.680000,32.286800,6753900
2019-02-01,35.779999,36.250000,34.959999,36.049999,32.621609,6703800
2019-03-01,36.070000,37.290001,35.500000,36.990002,33.795437,7566100
2019-04-01,37.060001,37.750000,36.459999,37.000000,33.804569,6648000
2019-05-01,36.939999,38.040001,36.490002,37.810001,34.544617,11148600
2019-06-01,37.860001,40.090000,37.779999,39.470001,36.061256,7067700
2019-07-01,39.380001,40.470001,39.139999,39.419998,36.015568,6902600
2019-08-01,39.160000,41.520000,39.160000,41.270000,37.705799,7723200
2019-09-01,41.270000,42.799999,41.200001,42.330002,38.996693,10385700
2019-10-01,42.110001,42.750000,40.740002,41.570000,38.296535,9844900
2019-11-01,41.509998,41.980000,38.759998,39.090000,36.011826,8408100
2019-12-01,39.040001,41.810001,38.910000,41.520000,38.593552,10293300
2020-01-01,41.549999,44.490002,41.000000,43.599998,40.526947,7129100
2020-02-01,43.570000,44.720001,40.160000,40.459999,37.608257,6769700
2020-03-01,40.549999,43.889999,28.590000,38.549999,36.128345,21903000
2020-04-01,37.470001,40.450001,35.450001,38.750000,36.315784,13852400
2020-05-01,38.389999,39.020000,35.529999,38.360001,35.950279,9853400
2020-06-01,38.560001,40.759998,36.639999,38.080002,36.020500,8777800
2020-07-01,38.180000,40.880001,37.549999,40.779999,38.574478,7308200
2020-08-01,40.900002,41.200001,39.619999,40.040001,37.874500,7501800
2020-09-01,40.130001,41.189999,38.730000,40.860001,38.999241,7165800
2020-10-01,40.919998,42.470001,39.320000,39.500000,37.701176,5481200
2020-11-01,39.639999,43.490002,39.529999,40.270000,38.436108,8476600
2020-12-01,40.779999,42.169998,39.500000,40.820000,39.330170,6763500
2021-01-01,41.009998,41.470001,39.689999,40.430000,38.954403,7637600
2021-02-01,40.560001,41.009998,38.490002,38.500000,37.094841,8750000
2021-03-01,38.910000,43.860001,38.860001,43.369999,42.199352,9573500
2021-04-01,43.389999,44.959999,42.910000,44.599998,43.396156,7201000
2021-05-01,44.619999,46.110001,44.290001,45.650002,44.417816,7987500
2021-06-01,45.650002,47.020000,44.070000,44.230000,43.433960,7139900
2021-07-01,44.410000,45.410000,43.759998,45.340000,44.523983,7428600
2021-08-01,45.549999,47.009998,44.660000,45.820000,44.995342,6865900
2021-09-01,45.990002,46.410000,43.900002,44.330002,43.909309,6702800
2021-10-01,44.520000,45.959999,43.919998,44.509998,44.087597,6567200
2021-11-01,44.520000,45.799999,43.119999,43.310001,42.898991,7569600
2021-12-01,43.509998,47.529999,43.240002,47.520000,47.520000,7772300
2021-12-22,47.160000,47.529999,46.959999,47.520000,47.520000,361613
