Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,27.860001,28.700001,26.320000,26.370001,21.163061,659832000
2015-02-01,26.389999,29.990000,25.920000,29.510000,23.845909,614928400
2015-03-01,29.360001,30.309999,26.620001,27.530001,22.245947,630441700
2015-04-01,27.309999,29.330000,26.840000,28.830000,23.474718,489815600
2015-05-01,28.809999,29.900000,28.690001,29.309999,23.865553,515367400
2015-06-01,29.600000,29.620001,27.330000,27.459999,22.359196,507210100
2015-07-01,27.420000,28.770000,26.840000,28.420000,23.140875,520262100
2015-08-01,28.410000,29.209999,23.030001,25.879999,21.235083,690472400
2015-09-01,25.219999,26.730000,24.920000,26.250000,21.538677,556873700
2015-10-01,26.049999,29.490000,25.340000,28.850000,23.672033,509869000
2015-11-01,28.870001,28.870001,25.820000,27.250000,22.539516,630676000
2015-12-01,27.200001,27.900000,25.959999,27.160000,22.465076,501981100
2016-01-01,26.389999,26.660000,22.469999,23.790001,19.677622,786284200
2016-02-01,23.459999,26.910000,22.459999,26.180000,21.823215,677901900
2016-03-01,26.450001,28.680000,26.240000,28.469999,23.732121,498221500
2016-04-01,28.299999,28.700001,26.950001,27.490000,22.915203,443380900
2016-05-01,27.480000,29.080000,25.809999,29.049999,24.437056,542483400
2016-06-01,28.840000,29.410000,27.129999,28.690001,24.134222,498272800
2016-07-01,28.780001,31.150000,28.170000,30.530001,25.682043,441933000
2016-08-01,30.700001,31.700001,30.059999,31.440001,26.688482,546905700
2016-09-01,31.420000,31.950001,30.600000,31.719999,26.926161,439303800
2016-10-01,31.309999,31.680000,29.860001,30.680000,26.043339,368562000
2016-11-01,30.850000,31.889999,29.549999,29.820000,25.522511,569547500
2016-12-01,29.840000,31.070000,29.120001,30.219999,25.864870,440511100
2017-01-01,30.370001,31.049999,29.799999,30.719999,26.292809,388921600
2017-02-01,30.850000,34.320000,30.420000,34.180000,29.505365,476211300
2017-03-01,34.279999,34.529999,33.650002,33.799999,29.177334,404059400
2017-04-01,33.700001,34.110001,32.419998,34.070000,29.410408,323261900
2017-05-01,34.110001,34.599998,30.370001,31.530001,27.454899,548285400
2017-06-01,31.520000,32.500000,31.090000,31.299999,27.254622,480792900
2017-07-01,31.090000,32.250000,30.670000,31.450001,27.385239,344250200
2017-08-01,31.590000,32.470001,30.360001,32.209999,28.309050,505600300
2017-09-01,32.220001,34.099998,31.459999,33.630001,29.557066,415433800
2017-10-01,33.610001,34.730000,33.169998,34.150002,30.014091,336242900
2017-11-01,34.290001,38.029999,33.669998,37.299999,33.065876,476356800
2017-12-01,37.090000,38.990002,36.730000,38.299999,33.952362,373030900
2018-01-01,38.669998,42.980000,38.430000,41.540001,36.824574,504812100
2018-02-01,41.090000,45.889999,37.349998,44.779999,39.992870,703752400
2018-03-01,44.680000,46.160000,41.580002,42.889999,38.304924,597830400
