Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,29.389999,30.400000,28.000000,30.400000,26.273205,900
2015-02-01,28.750000,31.420000,28.280001,30.700001,26.532482,19900
2015-03-01,32.200001,33.299999,30.100000,32.700001,28.260983,21900
2015-04-01,32.700001,33.000000,32.200001,32.200001,27.828856,500
2015-05-01,32.200001,33.099998,30.900000,33.099998,28.606680,5000
2015-06-01,33.099998,34.799999,31.780001,31.780001,27.716352,8300
2015-07-01,31.850000,34.450001,30.299999,33.299999,29.041988,11800
2015-08-01,33.299999,35.549999,32.250000,33.549999,29.260021,32000
2015-09-01,33.549999,34.500000,31.700001,32.020000,27.925663,6000
2015-10-01,32.840000,36.849998,32.840000,36.849998,32.138050,3800
2015-11-01,37.630001,37.869999,33.250000,35.849998,31.265928,7300
2015-12-01,35.849998,36.299999,34.150002,34.150002,30.009943,13700
2016-01-01,33.500000,33.500000,31.000000,31.770000,27.918474,12500
2016-02-01,32.840000,32.840000,30.250000,31.350000,27.549389,6900
2016-03-01,31.350000,34.450001,31.350000,33.480000,29.421167,10100
2016-04-01,33.480000,33.480000,31.350000,31.410000,27.602116,34800
2016-05-01,31.410000,33.599998,31.080000,32.970001,29.275539,36800
2016-06-01,32.970001,35.000000,31.500000,32.430000,28.796055,8000
2016-07-01,32.430000,33.320000,32.430000,33.200001,29.479767,10100
2016-08-01,33.200001,36.000000,33.200001,35.509998,31.530916,53200
2016-09-01,36.049999,37.700001,35.150002,35.840000,31.823942,14200
2016-10-01,35.840000,36.799999,35.380001,35.380001,31.415489,12000
2016-11-01,35.380001,35.380001,33.270000,33.799999,30.295103,6900
2016-12-01,33.799999,35.099998,32.560001,34.380001,30.814959,140000
2017-01-01,34.380001,34.380001,32.330002,32.500000,29.129910,36200
2017-02-01,32.500000,33.759998,31.340000,31.340000,28.090193,14300
2017-03-01,32.570000,35.500000,31.940001,35.189999,31.540976,168400
2017-04-01,35.189999,38.340000,35.060001,38.340000,34.364326,56300
2017-05-01,37.820000,40.810001,37.820000,40.810001,36.935616,9100
2017-06-01,40.810001,41.000000,37.799999,37.799999,34.211372,25000
2017-07-01,37.799999,40.150002,37.349998,40.150002,36.338276,14900
2017-08-01,40.150002,40.650002,38.360001,39.119999,35.406059,12600
2017-09-01,39.119999,39.299999,36.310001,36.310001,32.862827,44400
2017-10-01,36.150002,37.799999,35.310001,37.799999,34.211372,14200
2017-11-01,37.799999,37.799999,33.740002,35.250000,32.251942,24900
2017-12-01,35.250000,37.500000,34.709999,34.709999,31.757870,12400
2018-01-01,34.709999,36.040001,34.220001,35.639999,32.608772,29200
2018-02-01,34.849998,34.950001,30.549999,30.650000,28.043179,113400
2018-03-01,30.650000,32.430000,29.379999,31.809999,29.104517,312500
2018-04-01,30.469999,32.279999,29.620001,31.370001,28.701944,13400
2018-05-01,30.410000,32.939999,30.410000,31.030001,28.807775,61400
2018-06-01,31.840000,35.639999,31.840000,34.209999,31.760040,8300
2018-07-01,34.209999,34.840000,32.529999,32.560001,30.228209,8800
2018-08-01,32.560001,33.470001,30.120001,30.200001,28.037218,11500
2018-09-01,28.830000,32.200001,28.830000,30.440001,28.260029,43500
2018-10-01,30.440001,30.440001,27.500000,28.379999,26.347557,19700
2018-11-01,28.379999,31.240000,28.230000,30.430000,28.680241,30900
2018-12-01,30.430000,30.430000,24.500000,25.040001,23.600172,48900
2019-01-01,25.040001,28.049999,25.000000,28.049999,26.437094,129700
2019-02-01,28.240000,29.930000,27.730000,29.930000,28.208994,16200
2019-03-01,30.260000,30.299999,28.860001,29.219999,27.539816,18000
2019-04-01,29.010000,31.870001,29.010000,29.940001,28.218418,8000
2019-05-01,29.940001,29.940001,26.920000,26.920000,25.786650,32800
2019-06-01,26.920000,30.500000,26.920000,29.959999,28.698662,125200
2019-07-01,29.959999,31.020000,29.959999,30.270000,28.995613,10900
2019-08-01,30.270000,31.400000,27.940001,31.080000,29.771509,10400
2019-09-01,31.080000,31.379999,29.670000,30.959999,29.656563,34000
2019-10-01,30.830000,32.150002,29.570000,31.200001,29.886461,6400
2019-11-01,31.200001,31.430000,30.450001,30.450001,29.634398,5900
2019-12-01,30.219999,34.910000,30.219999,34.900002,33.965202,41300
2020-01-01,35.000000,35.520000,33.099998,33.099998,32.213413,9400
2020-02-01,33.240002,35.099998,29.670000,30.129999,29.322966,182600
2020-03-01,31.070000,31.360001,19.049999,25.000000,24.330374,215900
2020-04-01,23.500000,29.100000,21.500000,24.350000,23.697784,45200
2020-05-01,24.350000,28.410000,22.200001,28.410000,27.649036,77800
2020-06-01,28.410000,30.160000,26.000000,26.540001,25.829126,598200
2020-07-01,26.540001,28.000000,25.870001,26.209999,25.507963,119600
2020-08-01,26.209999,28.629999,26.209999,27.850000,27.104036,125600
2020-09-01,27.090000,28.700001,26.850000,28.160000,27.405733,34300
2020-10-01,28.020000,29.160000,24.889999,24.889999,24.223320,46800
2020-11-01,24.520000,34.130001,24.520000,32.869999,32.486107,82900
2020-12-01,33.130001,34.820000,29.840000,33.110001,32.723309,839200
